epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59083,1.65225,3.50544,1.23637,0.01643,0.90909,0.18661,0.127,1.65153,3.21995,1.35805,1.667e-05,1.667e-05,1.667e-05
2,4.05642,1.71797,3.52798,1.36039,0.0154,0.90909,0.19699,0.12786,1.65106,3.22071,1.35913,4.97625e-05,4.97625e-05,4.97625e-05
3,4.48849,1.78866,3.41664,1.36974,0.01505,0.95455,0.1038,0.07786,1.50175,3.22524,1.30335,8.25248e-05,8.25248e-05,8.25248e-05
4,4.93899,1.6104,3.2946,1.3169,0.01485,1,0.26233,0.15455,1.23003,3.16732,1.13994,0.000114957,0.000114957,0.000114957
5,5.39858,1.27488,3.11335,1.09018,0.01415,1,0.59996,0.42191,0.99651,2.9614,0.97657,0.000147059,0.000147059,0.000147059
6,5.86348,1.25457,2.69417,1.03813,0.01346,1,0.71026,0.507,1.02667,2.84556,0.95986,0.000178832,0.000178832,0.000178832
7,6.32066,1.20062,2.08107,1.00866,0.01336,1,0.66615,0.48979,1.0358,2.66775,0.95533,0.000210274,0.000210274,0.000210274
8,6.76488,1.17989,1.6148,1.03321,0.51054,0.40987,0.65916,0.43319,0.99709,2.48358,0.95649,0.000241386,0.000241386,0.000241386
9,7.16951,1.11248,1.41386,0.99547,0.61548,0.75817,0.65929,0.425,0.98776,2.43092,0.96497,0.000272168,0.000272168,0.000272168
10,7.58344,1.09974,1.34277,1.021,0.53045,0.4995,0.65938,0.43944,0.96615,2.4056,0.96437,0.00030262,0.00030262,0.00030262
11,8.0034,1.18647,1.36356,1.01434,0.85633,0.27273,0.59664,0.41621,0.92635,2.36898,0.9426,0.000332742,0.000332742,0.000332742
12,8.41665,1.06475,1.32476,0.97976,0.86251,0.24093,0.67751,0.5107,0.89025,2.33122,0.91089,0.000362533,0.000362533,0.000362533
13,8.83845,1.04882,1.29164,0.96275,0.52283,0.81363,0.84519,0.61394,0.87707,2.37131,0.89982,0.000391995,0.000391995,0.000391995
14,9.29133,1.14037,1.2684,1.0598,0.01303,1,0.9378,0.70359,0.88423,2.4127,0.89724,0.000421127,0.000421127,0.000421127
15,10.2991,1.08136,1.18968,0.98382,0.01287,1,0.95723,0.74516,0.85907,2.44279,0.89962,0.000449928,0.000449928,0.000449928
16,11.5303,1.08446,1.20138,0.9912,0.01268,1,0.95282,0.70051,0.87232,2.44535,0.91701,0.0004784,0.0004784,0.0004784
17,12.1825,1.07007,1.09924,1.02833,0.02392,1,0.94682,0.69744,0.93817,2.37075,0.93357,0.000506541,0.000506541,0.000506541
18,12.7413,1.05602,1.08975,0.99647,0.94904,0.27273,0.92261,0.64669,1.00061,2.23875,0.94379,0.000534353,0.000534353,0.000534353
19,13.2588,1.01312,1.0834,0.98899,0.93494,0.30516,0.89362,0.64706,1.01821,2.12881,0.94745,0.000561834,0.000561834,0.000561834
20,13.8484,1.05285,1.05084,0.97553,0.9365,0.31309,0.90525,0.65426,0.9836,2.01199,0.91778,0.000588985,0.000588985,0.000588985
21,14.5241,0.9996,0.96532,0.984,0.93711,0.31618,0.9124,0.68497,0.94521,1.94661,0.90661,0.000615806,0.000615806,0.000615806
22,15.5884,1.01625,0.91952,0.97675,0.93824,0.36364,0.95335,0.67253,0.97012,1.96463,0.92069,0.000642298,0.000642298,0.000642298
23,17.0147,1.02064,0.9212,0.97256,0.86041,0.31818,0.89572,0.65176,1.0271,1.9574,0.93899,0.000668459,0.000668459,0.000668459
24,17.7745,1.00756,0.87263,0.96034,0.97616,0.27273,0.88316,0.62123,1.03668,1.94022,0.94179,0.00069429,0.00069429,0.00069429
25,18.7562,1.01774,0.89409,0.96897,0.88862,0.47664,0.9508,0.64107,1.00891,1.88298,0.94016,0.000719791,0.000719791,0.000719791
26,19.8012,0.9978,0.8572,0.97637,0.86309,0.5,0.97625,0.73318,0.93155,1.75241,0.92349,0.000744961,0.000744961,0.000744961
27,20.5201,1.01116,0.85668,0.98846,0.94514,0.82306,0.995,0.72692,0.97561,1.59277,0.93269,0.000769802,0.000769802,0.000769802
28,21.4848,0.9212,0.83206,0.95328,0.94514,0.82306,0.995,0.72692,0.97561,1.59277,0.93269,0.000794313,0.000794313,0.000794313
29,23.0529,0.91965,0.8615,0.95282,0.97629,0.97128,0.995,0.68799,1.0308,1.46538,0.9572,0.000818494,0.000818494,0.000818494
30,23.9159,0.98767,0.86436,0.96744,0.97449,1,0.995,0.71551,1.09493,1.43767,0.99189,0.000842344,0.000842344,0.000842344
31,24.8812,0.98931,0.82518,0.94331,0.97449,1,0.995,0.71551,1.09493,1.43767,0.99189,0.000865865,0.000865865,0.000865865
32,26.1582,0.97101,0.84137,0.95811,1,0.81317,0.995,0.73808,1.11792,1.55991,1.02125,0.000889055,0.000889055,0.000889055
33,26.8407,1.00101,0.86897,1.00763,0.99175,0.78167,0.95,0.70288,1.00322,1.63877,0.98083,0.000911916,0.000911916,0.000911916
34,27.7521,1.01685,0.86312,1.00794,0.99175,0.78167,0.95,0.70288,1.00322,1.63877,0.98083,0.000934446,0.000934446,0.000934446
35,29.351,0.89984,0.7713,0.94219,0.9442,0.90491,0.995,0.72564,1.01945,1.65614,0.96139,0.000956646,0.000956646,0.000956646
36,30.4883,0.94085,0.82789,0.97907,0.94258,0.90073,0.995,0.70214,1.05869,1.58418,1.00952,0.000978516,0.000978516,0.000978516
37,31.6387,1.00399,0.88026,1.00386,0.94258,0.90073,0.995,0.70214,1.05869,1.58418,1.00952,0.00100006,0.00100006,0.00100006
38,33.056,0.98475,0.83093,1.01464,0.95263,0.97978,0.995,0.73238,1.0589,1.557,1.03519,0.00102127,0.00102127,0.00102127
39,33.7676,0.9644,0.83608,0.97737,0.95656,1,0.995,0.73049,1.09724,1.48925,1.09225,0.00104215,0.00104215,0.00104215
40,34.6903,0.8955,0.79656,0.97008,0.95656,1,0.995,0.73049,1.09724,1.48925,1.09225,0.0010627,0.0010627,0.0010627
41,35.8768,0.92216,0.79431,0.96935,0.97598,1,0.995,0.70847,1.15022,1.21322,1.15186,0.00108292,0.00108292,0.00108292
42,36.602,1.00499,0.77781,0.96902,0.97639,0.97776,0.995,0.71247,1.13159,1.0217,1.11053,0.00110281,0.00110281,0.00110281
43,37.5375,0.89668,0.74028,0.94498,0.97639,0.97776,0.995,0.71247,1.13159,1.0217,1.11053,0.00112237,0.00112237,0.00112237
44,38.8434,0.93935,0.80736,0.98473,0.94955,1,0.995,0.70102,1.0898,0.80659,1.11265,0.0011416,0.0011416,0.0011416
45,39.4855,0.91744,0.72474,0.94245,0.94955,1,0.995,0.70102,1.0898,0.80659,1.11265,0.0011605,0.0011605,0.0011605
46,40.4905,0.90021,0.77203,0.92464,0.96923,0.96104,0.995,0.71328,1.09029,0.71985,1.1097,0.00117906,0.00117906,0.00117906
47,41.7449,0.93413,0.83563,0.98072,0.96923,0.96104,0.995,0.71328,1.09029,0.71985,1.1097,0.0011973,0.0011973,0.0011973
48,42.8547,0.84908,0.71813,0.93996,0.96742,0.99159,0.995,0.66878,1.09949,0.70768,1.11681,0.00121521,0.00121521,0.00121521
49,43.8341,0.92103,0.7925,0.97562,0.96742,0.99159,0.995,0.66878,1.09949,0.70768,1.11681,0.00123279,0.00123279,0.00123279
50,44.5491,0.89297,0.72504,0.94777,0.98884,0.97672,0.995,0.65684,1.15017,0.7903,1.15197,0.00125004,0.00125004,0.00125004
51,45.547,0.84224,0.71056,0.95835,0.98884,0.97672,0.995,0.65684,1.15017,0.7903,1.15197,0.00125442,0.00125442,0.00125442
52,46.957,0.90173,0.72765,0.96334,0.89842,0.98659,0.995,0.6911,1.07015,0.87327,1.15025,0.00124617,0.00124617,0.00124617
53,47.6869,0.92897,0.74118,0.94009,0.89842,0.98659,0.995,0.6911,1.07015,0.87327,1.15025,0.00123791,0.00123791,0.00123791
54,48.6943,0.88012,0.7647,0.96616,0.83864,0.96017,0.995,0.70269,1.02991,0.88721,1.14,0.00122966,0.00122966,0.00122966
55,50.295,0.83982,0.72285,0.9634,0.83864,0.96017,0.995,0.70269,1.02991,0.88721,1.14,0.00122141,0.00122141,0.00122141
56,51.064,0.8874,0.73291,0.93668,0.92255,0.96912,0.995,0.72604,0.97982,0.7776,1.12254,0.00121316,0.00121316,0.00121316
57,52.0568,0.79045,0.6797,0.93237,0.92255,0.96912,0.995,0.72604,0.97982,0.7776,1.12254,0.00120491,0.00120491,0.00120491
58,53.3108,0.86337,0.66201,0.95165,0.93949,1,0.995,0.70464,1.10097,0.7528,1.16469,0.00119666,0.00119666,0.00119666
59,54.3314,0.86657,0.73063,0.98031,0.93949,1,0.995,0.70464,1.10097,0.7528,1.16469,0.0011884,0.0011884,0.0011884
60,55.8665,0.90171,0.68043,0.95039,0.94057,1,0.995,0.67712,1.09311,0.7153,1.14274,0.00118015,0.00118015,0.00118015
61,56.6095,0.8288,0.69072,0.96449,0.94057,1,0.995,0.67712,1.09311,0.7153,1.14274,0.0011719,0.0011719,0.0011719
62,57.6964,0.83397,0.65482,0.94752,0.95673,1,0.995,0.71584,1.05851,0.64134,1.14861,0.00116365,0.00116365,0.00116365
63,59.2521,0.83772,0.6471,0.92396,0.95673,1,0.995,0.71584,1.05851,0.64134,1.14861,0.0011554,0.0011554,0.0011554
64,60.1196,0.89167,0.68995,0.95161,0.9595,1,0.995,0.76008,1.0407,0.63237,1.12736,0.00114715,0.00114715,0.00114715
65,61.2614,0.84984,0.68153,0.95774,0.9595,1,0.995,0.76008,1.0407,0.63237,1.12736,0.00113889,0.00113889,0.00113889
66,62.7025,0.80538,0.6595,0.93206,0.96177,1,0.995,0.73892,1.00594,0.63846,1.08066,0.00113064,0.00113064,0.00113064
67,63.4205,0.85195,0.66221,0.94253,0.96177,1,0.995,0.73892,1.00594,0.63846,1.08066,0.00112239,0.00112239,0.00112239
68,64.4305,0.82541,0.66064,0.95652,0.93262,0.99249,0.995,0.70318,1.02094,0.68666,1.0849,0.00111414,0.00111414,0.00111414
69,65.4974,0.85344,0.66782,0.9345,0.93262,0.99249,0.995,0.70318,1.02094,0.68666,1.0849,0.00110589,0.00110589,0.00110589
70,66.749,0.85426,0.69804,0.96359,0.9345,1,0.995,0.73652,0.97608,0.67237,1.06433,0.00109764,0.00109764,0.00109764
71,68.2364,0.76505,0.6372,0.92243,0.9345,1,0.995,0.73652,0.97608,0.67237,1.06433,0.00108938,0.00108938,0.00108938
